recent grades,attendance,assignment,sex,major interest,seat,weekly study hours,weekly work hours,reading room,extracurricular activities,recent major credits,recent liberal art credits,recent double major credits,time for school 
3.8,5,5,M,2,Middle,1,10,0,N,6,12,0,30
3.89,3,5,M,3,Middle,3,0,0,N,12,6,0,15
4.38,5,5,F,5,Front,0,0,0,Y,18,3,9,35
2.51,4,5,M,2,Front,7,9,3,N,3,18,0,17
3.5,5,5,F,5,Front,10,13,10,Y,3,12,0,50
NaN,5,4,M,4,Middle,3,14,3,N,6,12,0,90
4,5,5,F,5,Middle,2,0,3,N,12,3,6,50
4.3,5,5,F,5,Front,1,15,0,N,6,14,0,20
3.93,5,5,M,4,Front,6,0,0,Y,18,6,0,10
4.1,3,4,F,4,Middle,0,0,0,Y,8,5,6,10
3,5,4,M,4,Middle,NaN,10,NaN,N,0,12,0,60
18,5,5,M,4,Middle,5,18,0,N,3,4,0,20
4.26,5,5,F,3,Middle,35,16,7,Y,6,11,3,15
3.99,5,5,F,3,Front,0,27,0,Y,17,0,11,60
3.5,5,5,M,3,Middle,3,0,3,N,12,21,0,10
3.97,5,5,M,3,Front,1,0,0,N,12,6,0,0
3.1,3,4,M,4,Middle,6,0,0,N,NaN,16,0,10
2.26,1,1,M,3,Middle,0,0,0,N,3,12,0,20
3.7,5,5,F,5,Middle,10,0,3,N,6,11,0,10
2.87,2,5,M,3,Middle,5,0,0,N,6,14,0,10
4.19,5,5,F,3,Middle,8,34,0,N,6,6,0,15
3.7,5,5,M,3,Middle,5,0,0,N,NaN,NaN,NaN,15
3.97,5,5,M,4,Middle,2,0,0,N,6,15,0,1
1.7,3,3,M,4,Middle,2,0,0,N,2,2,0,20
4.11,5,5,M,5,Front,1,0,0,N,14,0,0,10
3.73,5,4,M,5,Middle,2,0,0,N,6,12,0,30
3.32,5,5,M,3,Middle,2,14,0,N,6,14,0,15
4,5,5,M,2,Middle,3,18,0,N,6,12,0,1
2.99,4,5,M,3,Middle,5,30,0,N,6,13,0,15
3.93,5,5,M,4,Front,7,0,0,Y,6,12,0,10
3.2,5,5,M,4,Middle,1,0,10,N,19,8,0,90
2,5,5,M,4,Middle,1,0,1,N,6,14,NA,20
3.1,4,4,M,4,Middle,6,0,0,N,N/A,16,0,10
3.9,5,5,M,3,Middle,3,0,2,N,6,13,0,10
3.2,3,4,F,3,Middle,0.17,0,2,N,6,11,0,17
NaN,2,2,M,3,Middle,0,12,0,N,3,3,0,90
NaN,5,5,F,3,Middle,7,10,0,N,9,3,0,1
3.02,5,5,M,5,Middle,3,28,7,N,17,1,17,40
3.16,4,5,M,5,Front,2.5,3,0,N,6,13,0,30
4.5,5,5,M,3,Middle,2,0,0,Y,6,13,0,20
2.4,5,5,M,3,Front,15,0,0,N,6,12,0,5
NaN,5,5,M,4,Front,NaN,NaN,NaN,N,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.9,4,4,M,3,Middle,2,0,6,N,12,3,0,20
3.78,5,5,M,2,Middle,1,0,0,N,6,16,0,16
3.4,5,5,M,3,Middle,0,0,0,N,6,12,0,7
4.36,5,5,F,1,Middle,0,0,0,N,20,1,0,30
4.46,5,5,F,5,Front,14,0,0,N,6,11,0,40
2.93,5,4,M,5,Front,4,0,40,Y,18,0,2.93,160
4.32,5,5,F,4,Front,1,0,0,Y,6,5,9,30
3.64,5,4,F,1,Front,1,10,3,N,18,0,0,40
3,4,4,M,2,Middle,NaN,15,NaN,N,15,3,0,5
3.4,5,5,F,3,Middle,2,0,0,N,19,0,0,30
3.64,5,5,F,4,Front,NaN,8,0,N,15,2,0,90
3.89,5,5,F,2,Front,2,15,0,N,9,11,0,30
3.9,5,5,F,3,Middle,3,17,1,N,17,12,0,50
4.5,5,5,F,5,Front,2.5,15,3,N,6,14,0,60
4.1,5,5,F,5,Middle,5,0,6,N,3,6,0,15
3.06,4,2,F,2,Front,0.17,0,5,N,15,0,0,150
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4.5,5,5,F,5,Front,5,0,5,Y,18,3,15,10
4.5,5,5,F,3,Front,2,18,0,N,15,4,0,90
3.64,5,4,F,5,Middle,3,12,,Y,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.6,4,5,F,4,Middle,NaN,32,2,Y,15,,3,30
3.7,4,5,F,3,Front,0,0,0,N,21,0,0,60
3.8,5,5,F,4,Front,6,16,0,N,20,9,0,10
4,5,5,F,5,Front,12,0,0,Y,24,0,0,10
